Название карточки;Роторы (1);Количество роторов (1);Комплект суппортов в сборе (2);Количество 2;Шланги (3);Количество (3);Переходной комплект (4);Количество (4);Комплекто колодок (5);Количество (5);Суппорты ручника (6);Количество (6);Выходное изделие;Количество изделий
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC61-776-B-03-15-01-02-0A-01-00-02;DSC041036S;1;KIT-IC61B;1;H55X;1;CK-IC61-776-410;1;pds_8520C100;1;;1;IC61-776-B-03-15-01-02-0A-01-00-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC61-776-G-03-15-01-02-0A-01-00-02;DSC041036S;1;KIT-IC61G;1;H55X;1;CK-IC61-776-410;1;pds_8520C100;1;;1;IC61-776-G-03-15-01-02-0A-01-00-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, IC61-777-R-03-15-01-02-0E-01-00-02;DSC041036S;1;KIT-IC61R;1;H65X;1;CK-IC61-777-410;1;pds_8520C100;1;;1;IC61-777-R-03-15-01-02-0E-01-00-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, IC61-777-B-03-15-01-02-0E-01-00-02;DSC041036S;1;KIT-IC61B;1;H65X;1;CK-IC61-777-410;1;pds_8520C100;1;;1;IC61-777-B-03-15-01-02-0E-01-00-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH IC61, (410*36mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, IC61-777-G-03-15-01-02-0E-01-00-02;DSC041036S;1;KIT-IC61G;1;H65X;1;CK-IC61-777-410;1;pds_8520C100;1;;1;IC61-777-G-03-15-01-02-0E-01-00-02;1
Изготовление LiXiang L7/8/9/ONE IC62-E20-W-03-11-01-03-0D-01-00-02;DSC041036S;1;KIT-IC62W;1;H65V;1;CK-IC62-E20-410;1;pds_8520C100;1;;1;IC62-E20-W-03-11-01-03-0D-01-00-02;1
Изготовление EXEED TXL X42-1042-Y-03-0C-03-02-0A-05-02-02;DSC038028DS;1;KIT-X42Y;1;H55X;1;CK-X42-1042-380;1;pds_GT4C100;1;ICEPB-Y;1;X42-1042-Y-03-0C-03-02-0A-05-02-02;1
Изготовление FORD EXPLORER 6 X42-1151-R-03-0C-01-02-0A-05-02-02;DSC038028S;1;KIT-X42R;1;H55X;1;CK-X42-1151-380;1;pds_GT4C100;1;ICEPB-R;1;X42-1151-R-03-0C-01-02-0A-05-02-02;1
Изготовление FORD F-150 12 поколение (2009-2014) (Кроме FBAAD0) X42-1156-W-03-0F-01-02-08-05-00-02;DSC040028S;1;KIT-X42W;1;H45X;1;CK-X42-1156-400;1;pds_GT4C100;1;;1;X42-1156-W-03-0F-01-02-08-05-00-02;1
Изготовление Kia K900 2 X42-1685-G-03-0C-01-02-09-05-02-02;DSC038028S;1;KIT-X42G;1;H55V;1;CK-X42-1685-380;1;pds_GT4C100;1;ICEPB-G;1;X42-1685-G-03-0C-01-02-09-05-02-02;1
Изготовление Lynk & Co 9 X42-1850-G-03-0C-01-02-07-05-02-02;DSC038028S;1;KIT-X42G;1;H45V;1;CK-X42-1850-380;1;pds_GT4C100;1;ICEPB-G;1;X42-1850-G-03-0C-01-02-07-05-02-02;1
Изготовление MAZDA Cx-9 X42-1877-R-03-0C-01-02-16-05-02-02;DSC038028S;1;KIT-X42R;1;H50X;1;CK-X42-1877-380;1;pds_GT4C100;1;ICEPB-R;1;X42-1877-R-03-0C-01-02-16-05-02-02;1
Изготовление NISSAN Patrol VI (Y62) (2010-2024) ICOOH X42 (ротор до 400 мм) цвет: Красный, поршней: 4, задняя ось, X42-2227-R-03-0F-01-02-0A-05-00-02;DSC040028S;1;KIT-X42R;1;H55X;1;CK-X42-2227-400;1;pds_GT4C100;1;;1;X42-2227-R-03-0F-01-02-0A-05-00-02;1
Изготовление NISSAN Patrol VI (Y62) (2010-2024) ICOOH X42 (ротор до 400 мм) цвет: Черный, поршней: 4, задняя ось, X42-2227-B-03-0F-01-02-0A-05-00-02;DSC040028S;1;KIT-X42B;1;H55X;1;CK-X42-2227-400;1;pds_GT4C100;1;;1;X42-2227-B-03-0F-01-02-0A-05-00-02;1
Изготовление NISSAN Patrol VI (Y62) (2010-2024) ICOOH X42 (ротор до 400 мм) цвет: Серый, поршней: 4, задняя ось, X42-2227-G-03-0F-01-02-0A-05-00-02;DSC040028S;1;KIT-X42G;1;H55X;1;CK-X42-2227-400;1;pds_GT4C100;1;;1;X42-2227-G-03-0F-01-02-0A-05-00-02;1
Изготовление TOYOTA Highlander IV (U70) X42-2801-R-03-0C-01-02-08-05-02-02;DSC038028S;1;KIT-X42R;1;H45X;1;CK-X42-2801-380;1;pds_GT4C100;1;ICEPB-R;1;X42-2801-R-03-0C-01-02-08-05-02-02;1
Изготовление CADILLAC ESCALADE 4 поколение (2014-2020) ICOOH X42, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, X42-336-R-03-0C-01-02-04-05-00-02;DSC038028S;1;KIT-X42R;1;H35V;1;CK-X42-336-380;1;pds_GT4C100;1;;1;X42-336-R-03-0C-01-02-04-05-00-02;1
Изготовление CADILLAC ESCALADE 4 поколение (2014-2020) ICOOH X42, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, X42-336-B-03-0C-01-02-04-05-00-02;DSC038028S;1;KIT-X42B;1;H35V;1;CK-X42-336-380;1;pds_GT4C100;1;;1;X42-336-B-03-0C-01-02-04-05-00-02;1
Изготовление CADILLAC ESCALADE 4 поколение (2014-2020) ICOOH X42, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, X42-336-G-03-0C-01-02-04-05-00-02;DSC038028S;1;KIT-X42G;1;H35V;1;CK-X42-336-380;1;pds_GT4C100;1;;1;X42-336-G-03-0C-01-02-04-05-00-02;1
Изготовление Genesis G70 X42-393-B-03-0C-01-02-08-05-00-02;DSC038028S;1;KIT-X42B;1;H45X;1;CK-X42-393-380;1;pds_GT4C100;1;;1;X42-393-B-03-0C-01-02-08-05-00-02;1
Изготовление INFINITI QX56 II (JA60) (2010-2013) ICOOH X42, (400*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, X42-453-R-03-0F-01-02-0A-05-00-02;DSC040028S;1;KIT-X42R;1;H55X;1;CK-X42-453-400;1;pds_GT4C100;1;;1;X42-453-R-03-0F-01-02-0A-05-00-02;1
Изготовление INFINITI QX56 II (JA60) (2010-2013) ICOOH X42, (400*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, X42-453-B-03-0F-01-02-0A-05-00-02;DSC040028S;1;KIT-X42B;1;H55X;1;CK-X42-453-400;1;pds_GT4C100;1;;1;X42-453-B-03-0F-01-02-0A-05-00-02;1
Изготовление INFINITI QX56 II (JA60) (2010-2013) ICOOH X42, (400*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, X42-453-G-03-0F-01-02-0A-05-00-02;DSC040028S;1;KIT-X42G;1;H55X;1;CK-X42-453-400;1;pds_GT4C100;1;;1;X42-453-G-03-0F-01-02-0A-05-00-02;1
Изготовление RAM 1500 DT X42-728-W-03-0C-01-02-0A-05-02-02;DSC038028S;1;KIT-X42W;1;H55X;1;CK-X42-728-380;1;pds_GT4C100;1;ICEPB-W;1;X42-728-W-03-0C-01-02-0A-05-02-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH X42, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, X42-776-R-03-0C-01-02-08-05-00-02;DSC038028S;1;KIT-X42R_J200;1;H45X;1;CK-X42-776-380;1;pds_GT4C100;1;;1;X42-776-R-03-0C-01-02-08-05-00-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH X42, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, X42-776-B-03-0C-01-02-08-05-00-02;DSC038028S;1;KIT-X42B_J200;1;H45X;1;CK-X42-776-380;1;pds_GT4C100;1;;1;X42-776-B-03-0C-01-02-08-05-00-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH X42, (380*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, X42-776-G-03-0C-01-02-08-05-00-02;DSC038028S;1;KIT-X42G_J200;1;H45X;1;CK-X42-776-380;1;pds_GT4C100;1;;1;X42-776-G-03-0C-01-02-08-05-00-02;1
Изготовление TOYOTA LAND CRUISER J300 X42-777-B-03-0C-01-02-08-05-02-02;DSC038028S;1;KIT-X42B;1;H45X;1;CK-X42-777-380;1;pds_GT4C100;1;ICEPB-B;1;X42-777-B-03-0C-01-02-08-05-02-02;1
Изготовление Toyota LC300 X42-777-G-03-0C-01-02-08-05-02-02;DSC038028S;1;KIT-X42G;1;H45X;1;CK-X42-777-380;1;pds_GT4C100;1;ICEPB-G;1;X42-777-G-03-0C-01-02-08-05-02-02;1
Изготовление Toyota LC300 X42-777-W-03-0C-01-02-08-05-02-02;DSC038028S;1;KIT-X42W;1;H45X;1;CK-X42-777-380;1;pds_GT4C100;1;ICEPB-W;1;X42-777-W-03-0C-01-02-08-05-02-02;1
Изготовление Genesis G80 X61-1216-G-03-10-01-01-0E-02-00-02;DSC040534S;1;KIT-X61G;1;H65X;1;CK-X61-1216-405F;1;pds_GT6C100;1;;1;X61-1216-G-03-10-01-01-0E-02-00-02;1
Изготовление NISSAN Patrol VI (Y62) (2010-2024) ICOOH X61, (405*34mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Красный, X61-2227-R-03-10-01-02-0E-02-00-02;DSC040534S;1;KIT-X61R;1;H65X;1;CK-X61-2227-405;1;pds_GT6C100;1;;1;X61-2227-R-03-10-01-02-0E-02-00-02;1
Изготовление NISSAN Patrol VI (Y62) (2010-2024) ICOOH X61, (405*34mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Черный, X61-2227-B-03-10-01-02-0E-02-00-02;DSC040534S;1;KIT-X61B;1;H65X;1;CK-X61-2227-405;1;pds_GT6C100;1;;1;X61-2227-B-03-10-01-02-0E-02-00-02;1
Изготовление NISSAN Patrol VI (Y62) (2010-2024) ICOOH X61, (405*34mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Серый, X61-2227-G-03-10-01-02-0E-02-00-02;DSC040534S;1;KIT-X61G;1;H65X;1;CK-X61-2227-405;1;pds_GT6C100;1;;1;X61-2227-G-03-10-01-02-0E-02-00-02;1
Изготовление Cadillac Escalade 5 (GMTT1) (2020-2024) ICOOH X61, (405*34mm), поршней: 6, передняя ось, цвет: красный, X61-289-R-03-10-01-02-0C-02-00-02;DSC040534S;1;KIT-X61R;1;H60X;1;CK-X61-289-405;1;pds_GT6C100;1;;1;X61-289-R-03-10-01-02-0C-02-00-02;1
Изготовление Cadillac Escalade 5 (GMTT1) (2020-2024) ICOOH X61, (405*34mm), поршней: 6, передняя ось, цвет: черный, X61-289-B-03-10-01-02-0C-02-00-02;DSC040534S;1;KIT-X61B;1;H60X;1;CK-X61-289-405;1;pds_GT6C100;1;;1;X61-289-B-03-10-01-02-0C-02-00-02;1
Изготовление CADILLAC ESCALADE 5 поколение (2020-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, X61-289-G-03-10-01-02-0C-02-00-02;DSC040534S;1;KIT-X61G;1;H60X;1;CK-X61-289-405;1;pds_GT6C100;1;;1;X61-289-G-03-10-01-02-0C-02-00-02;1
Изготовление Voyah Free (ESSA) 1 поколение (2021-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, X61-3160-R-03-10-01-02-0E-0C-00-02;DSC040534S;1;KIT-X61R;1;H65X;1;CK-X61-3160-405;1;pds_GT6C100;1;;1;X61-3160-R-03-10-01-02-0E-0C-00-02;1
Изготовление Voyah Free (ESSA) 1 поколение (2021-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, X61-3160-B-03-10-01-02-0E-0C-00-02;DSC040534S;1;KIT-X61B;1;H65X;1;CK-X61-3160-405;1;pds_GT6C100;1;;1;X61-3160-B-03-10-01-02-0E-0C-00-02;1
Изготовление Voyah Free (ESSA) 1 поколение (2021-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, X61-3160-G-03-10-01-02-0E-0C-00-02;DSC040534S;1;KIT-X61G;1;H65X;1;CK-X61-3160-405;1;pds_GT6C100;1;;1;X61-3160-G-03-10-01-02-0E-0C-00-02;1
Изготовление WEY Coffee 01 1 поколение (2023-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, X61-3168-R-03-10-01-02-0D-02-00-02;DSC040534S;1;KIT-X61R;1;H65V;1;CK-X61-3168-405;1;pds_GT6C100;1;;1;X61-3168-R-03-10-01-02-0D-02-00-02;1
Изготовление WEY Coffee 01 1 поколение (2023-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, X61-3168-B-03-10-01-02-0D-02-00-02;DSC040534S;1;KIT-X61B;1;H65V;1;CK-X61-3168-405;1;pds_GT6C100;1;;1;X61-3168-B-03-10-01-02-0D-02-00-02;1
Изготовление WEY Coffee 01 1 поколение (2023-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, X61-3168-G-03-10-01-02-0D-02-00-02;DSC040534S;1;KIT-X61G;1;H65V;1;CK-X61-3168-405;1;pds_GT6C100;1;;1;X61-3168-G-03-10-01-02-0D-02-00-02;1
Изготовление CADILLAC ESCALADE 4 поколение (2014-2020) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, X61-336-R-03-10-01-02-0C-02-00-02;DSC040534S;1;KIT-X61R;1;H60X;1;CK-X61-336-405;1;pds_GT6C100;1;;1;X61-336-R-03-10-01-02-0C-02-00-02;1
Изготовление CADILLAC ESCALADE 4 поколение (2014-2020) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, X61-336-B-03-10-01-02-0C-02-00-02;DSC040534S;1;KIT-X61B;1;H60X;1;CK-X61-336-405;1;pds_GT6C100;1;;1;X61-336-B-03-10-01-02-0C-02-00-02;1
Изготовление CADILLAC ESCALADE 4 поколение (2014-2020) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, X61-336-G-03-10-01-02-0C-02-00-02;DSC040534S;1;KIT-X61G;1;H60X;1;CK-X61-336-405;1;pds_GT6C100;1;;1;X61-336-G-03-10-01-02-0C-02-00-02;1
Изготовление Genesis G70 (IK) X61-393-B-03-0C-01-02-0A-02-00-02;DSC038034S;1;KIT-X61B;1;H55X;1;CK-X61-393-380;1;pds_GT6C100;1;;1;X61-393-B-03-0C-01-02-0A-02-00-02;1
Изготовление Infiniti QX80 (Z62) (2010-2024) ICOOH X61, (405*34mm), поршней: 6, передняя ось, цвет: красный, X61-453-R-03-10-01-02-0A-02-00-02;DSC040534S;1;KIT-X61R;1;H55X;1;CK-X61-453-405;1;pds_GT6C100;1;;1;X61-453-R-03-10-01-02-0A-02-00-02;1
Изготовление Infiniti QX80 (Z62) (2010-2024) ICOOH X61, (405*34mm), поршней: 6, передняя ось, цвет: черный, X61-453-B-03-10-01-02-0A-02-00-02;DSC040534S;1;KIT-X61B;1;H55X;1;CK-X61-453-405;1;pds_GT6C100;1;;1;X61-453-B-03-10-01-02-0A-02-00-02;1
Изготовление Infiniti QX80 (Z62) (2010-2024) ICOOH X61, (405*34mm), поршней: 6, передняя ось, цвет: серый, X61-453-G-03-10-01-02-0A-02-00-02;DSC040534S;1;KIT-X61G;1;H55X;1;CK-X61-453-405;1;pds_GT6C100;1;;1;X61-453-G-03-10-01-02-0A-02-00-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH X61, (405*34mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Красный, X61-776-R-03-10-01-02-0A-02-00-02;DSC040534S;1;KIT-X61R;1;H55X;1;CK-X61-776-405;1;pds_GT6C100;1;;1;X61-776-R-03-10-01-02-0A-02-00-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH X61, (405*34mm, Фиксированный, Насечки), поршней: 6, передняя ось, цвет: Черный, X61-776-B-03-10-01-02-0A-02-00-02;DSC040534S;1;KIT-X61B;1;H55X;1;CK-X61-776-405;1;pds_GT6C100;1;;1;X61-776-B-03-10-01-02-0A-02-00-02;1
Изготовление TOYOTA LAND CRUISER J200 (2007-2021) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, X61-776-G-03-10-01-02-0A-02-00-02;DSC040534S;1;KIT-X61G;1;H55X;1;CK-X61-776-405;1;pds_GT6C100;1;;1;X61-776-G-03-10-01-02-0A-02-00-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Красный, X61-777-R-03-10-01-02-0E-02-00-02;DSC040534S;1;KIT-X61R;1;H65X;1;CK-X61-777-405;1;pds_GT6C100;1;;1;X61-777-R-03-10-01-02-0E-02-00-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Черный, X61-777-B-03-10-01-02-0E-02-00-02;DSC040534S;1;KIT-X61B;1;H65X;1;CK-X61-777-405;1;pds_GT6C100;1;;1;X61-777-B-03-10-01-02-0E-02-00-02;1
Изготовление TOYOTA LAND CRUISER J300 (2021-2024) ICOOH X61, (405*34mm,Фиксированный,Насечки), поршней: 6, передняя ось, цвет: Серый, X61-777-G-03-10-01-02-0E-02-00-02;DSC040534S;1;KIT-X61G;1;H65X;1;CK-X61-777-405;1;pds_GT6C100;1;;1;X61-777-G-03-10-01-02-0E-02-00-02;1
